LIST ITEM FOR BID,,,,,,,,,,,,,,,,,,,,,,,,,,
[E] CLAN NORN TREASURE 14,,,,,,,,,,,,,,,,,,,,,,,,,,
[E] CLAN NORN TREASURE 13,,,,,,,,,,,,,,,,,,,,,,,,,,
[E] CLAN NORN TREASURE 13[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
[E] CLAN NORN TREASURE 13[D2],,,,,,,,,,,,,,,,,,,,,,,,,,
[E] CLAN NORN TREASURE 13[D3],,,,,,,,,,,,,,,,,,,,,,,,,,
[E] CLAN NORN TREASURE 13[D4],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21,,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D2],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D3],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D4],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D5],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D6],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D7],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D8],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D9],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D10],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D11],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D12],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D13],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D14],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 20,,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 20[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 20[D2],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 20[D3],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 20[D4],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5,,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5[D2],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5[D3],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5[D4],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5[D5],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5[D6],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5[D7],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5[D8],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5[D9],,Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1],Server Battle Blueprint Chest 5 [D1]
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5[D10],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5[D11],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5[D12],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CRYSTAL STONE OF PROMOTION SELECTION CHEST 5[D13],,,,,,,,,,,,,,,,,,,,,,,,,,
[E] PARTA CARD SELECTION CHEST 6,,,,,,,,,,,,,,,,,,,,,,,,,,
[E] PARTA CARD SELECTION CHEST 6[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
[E] PARTA CARD SELECTION CHEST 6[D2],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] PATRA CARD SELECTION CHEST 12 + 1 [R] CRIMSON PATRA + 1 [R] AZURE PATRA + ALL GREEN PATRA,,,,,,,,,,,,,,,,,,,,,,,,,,
GWEMIX PIECE POUCH 74,,,,,,,,,,,,,,,,,,,,,,,,,,
GWEMIX PIECE POUCH 74[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
ALL BLUE HORN + GREEN HORN,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL ENHANCEMENT STONE SELECTION CHEST,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAL OF VICTORY PACKAGE 12,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAL OF VICTORY PACKAGE 12[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
SERVER BATTLE BLUEPRINT CHEST 5,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVER BATTLE MATERIAL CHEST 5,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVER BATTLE EQUIPMENT CHEST 1,,,,,,,,,,,,,,,,,,,,,,,,,,
200 YMIR'S BLOOD,,,,,,,,,,,,,,,,,,,,,,,,,,
200 YMIR'S BLOOD[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
200 YMIR'S BLOOD[D2],,,,,,,,,,,,,,,,,,,,,,,,,,
200 YMIR'S BLOOD[D3],,,,,,,,,,,,,,,,,,,,,,,,,,
ALL SOLAR STONE + TWILIGHT STONE 3,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL SOUL + ALL BROKK'S,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL HIGHER MATERIAL + ALL MIDDLE MATERIAL + SUPERIOR ABRASIVE 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUNDLESS BELL 4,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN KEY 10,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN KEY 10[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN KEY 10[D2],,,,,,,,,,,,,,,,,,,,,,,,,,
ALL DARKENING STONE + ALL RADIANT STONE + ALL ENHANCEMENT SUPPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL SILVARIN + ARTISAN'S PARCHMENT 2,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIM GLOVES(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
KARI LIGHT GAITER,,,,,,,,,,,,,,,,,,,,,,,,,,
KARI TRAP BOX,,,,,,,,,,,,,,,,,,,,,,,,,,
KARI TOTEM,,,,,,,,,,,,,,,,,,,,,,,,,,
RUNE BRACELET(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
GRIM BOTTOMS(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
RUNE BRACELET(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
GRIM LYRA(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
GRIM HELMENT(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
STORM BOTTOMS(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
STEEL HELMENT(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
RUNE BOTTOMS(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
GRIM BRACELET(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
STROM HELMET(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
KARI TRAP BOX(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
STEEL CHAIN(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
RUNE LIGHT GAUNTLENT(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
KARI LIGHT GAITER(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
GRIM QUARTZ(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
STEEL SPEAR(BOUND),,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE TOME CONTROL WEIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN TOME POWER DEFENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN TOME CONTROL WEIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN TOME POEM OF THE SHIELD,,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN TOME MULTI KICK,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE TOME POWER DEFENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN TOME POEM OF THE SHIELD[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN TOME CONTROL WEIGHT[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN TOME POWER DEFENSE[D1],,,,,,,,,,,,,,,,,,,,,,,,,,